обозначение,наименование,индекс,коэф_входимости,заказанное_кол,уровень_критичности,примечания,наименование_материала,locmat_name,locmat,уд_вес,стоимость_мат_за_1кг_м,заг_диаметр,заг_толщина,заг_длина,заг_ширина,заг_на_кол_во,прутки,плиты,вес,стоимость_мат_ла,индустриализация_вид,индустриализация_стоимость,подряд_вид,подряд_стоимость,термообработка_вид,терообработка_стоимость,покрытие_площадь,покрытие_вид,покрытие_стоимость,резка_т_подг_мин,резка_т_маш_мин,резка_т_сум_ч,cn_т_подг_мин,cn_т_маш_мин,cn_т_сум_ч,dart_т_подг_мин,dart_т_маш_мин,dart_т_сум_ч,mx-cn_т_подг_мин,mx-cn_т_маш_мин,mx-cn_т_сум_ч,tour_т_подг_мин,tour_т_маш_мин,tour_т_сум_ч,mx\dart-tour_т_подг_мин,mx\dart-tour_т_ман_мин,mx\dart-tour_т_сум_ч,финишная_т_подг_мин,финишная_т_маш_мин,финишная_т_сум_ч,слесарная_т_подг_мин,слесарная_т_маш_мин,слесарная_т_сум_ч,шлифовальная_т_подг_мин,шлифовальная_т_маш_мин,шлифовальная_т_сум_ч,резерв_т_подг_мин,резерв_т_маш_мин,резерв_т_сум_ч,т_партии_ч,номер_заказа,full_cod1,year
HY16-105-610,ETRIER,D,2,2.0,,,добавлена доработка согласно новой КД,7075,,,2.85,9.0,,50.0,140.0,95.0,1.0,0.0,0.0305899999999999,4.359075,39.231675,,55.0,,0.0,0.0501,ан.окс тв 30 мкм blue (синий),2.004,249.71150416666669,5.0,4.0,9.0,540.0,190.0,730.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,10.0,20.0,30.0,,,0.0,,,0.0,16.38333333333333,37928,16-105-610,2019
HY16-105-612,EMBOUT ETRIER GAUCHE,C,2,2.0,,,,"1,4307 (Inox304l)",,,7.85,10.0,80.0,,35.0,,2.0,0.04025,0.0,1.5873956,15.873956,,11.25,,0.0,0.014444,,0.0,131.30364466666668,5.0,1.0,6.0,,,0.0,300.0,85.0,385.0,,,0.0,60.0,5.0,65.0,,,0.0,,,0.0,10.0,10.0,20.0,,,0.0,,,0.0,9.616666666666667,37928,16-105-612,2019
HY16-105-613,CAPOT ETRIER DROIT,B,2,2.0,,,,7075,,,2.85,9.0,,20.0,50.0,50.0,1.0,0.0,0.00575,0.32775,2.94975,,36.25,,0.0,0.009,ан.окс тв 30 мкм blue (синий),0.36,77.82487499999999,5.0,0.2,5.2,,,0.0,180.0,45.0,225.0,,,0.0,,,0.0,,,0.0,,,0.0,5.0,0.5,5.5,,,0.0,,,0.0,4.69,37928,16-105-613,2019
HY16-105-614,CAPOT ETRIER GAUCHE,B,2,2.0,,,,7075,,,2.85,9.0,,20.0,45.0,35.0,1.0,0.0,0.0036224999999999,0.2064824999999999,1.8583425,,36.25,,0.0,0.00635,ан.окс тв 30 мкм blue (синий),0.0635,53.744337916666666,5.0,0.1,5.1,,,0.0,90.0,10.0,100.0,,,0.0,45.0,2.0,47.0,,,0.0,,,0.0,5.0,0.2,5.2,,,0.0,,,0.0,2.826666666666667,37928,16-105-614,2019
HY16-105-615,SUPPORT CODEUR,A,2,2.0,,,,7075,,,2.85,9.0,50.0,,25.0,,1.0,0.0574999999999999,0.0,0.3216046875,2.8944421875,,7.5,,0.0,0.00785,ан.окс тв 30 мкм blue (синий),0.3139999999999999,55.46788776041667,5.0,0.2,5.2,,,0.0,90.0,15.0,105.0,,,0.0,90.0,10.0,100.0,,,0.0,,,0.0,5.0,2.0,7.0,,,0.0,,,0.0,4.073333333333333,37928,16-105-615,2019
HY16-105-619,ARBRE CODEUR,B,2,2.0,,,,"1,4307 (Inox304l)",,,7.85,10.0,8.0,,41.0,,1.0,0.0943,0.0,0.0371904111999999,0.3719041119999999,,22.5,,0.0,0.0011304,,0.0,25.491785389333334,5.0,0.05,5.05,,,0.0,,,0.0,,,0.0,30.0,1.5,31.5,,,0.0,,,0.0,,,0.0,30.0,0.5,30.5,,,0.0,1.151666666666667,37928,16-105-619,2019
HY16-105-632,APPUI AVANT,B,4,4.0,,,,1.4401 (SS316L),,,8.0,12.0,,5.0,30.0,25.0,1.0,0.0,0.0034499999999999,0.1379999999999999,1.6559999999999997,,15.0,,0.0,0.00205,,0.0,15.374,5.0,0.1,5.1,,,0.0,60.0,10.0,70.0,,,0.0,,,0.0,,,0.0,,,0.0,5.0,0.2,5.2,,,0.0,,,0.0,1.853333333333333,37928,16-105-632,2019
HY16-105-636,HALF PLATE,A,4,4.0,,,,"1,4307 (Inox304l)",,,7.85,10.0,,1.0,45.0,15.0,1.0,0.0,0.0031049999999999,0.0243742499999999,0.2437424999999999,,22.5,лазерная резка,4.0,0.00147,,0.0,10.479268958333332,5.0,0.1,5.1,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,5.0,0.2,5.2,,,0.0,,,0.0,0.1866666666666666,37928,16-105-636,2019
HY01-291-10,BOITIER COMPAS,F,5,5.0,RC1,,новый индекс,Delrin noir, DELRIN NOIR (POM NOIR),J DELRIN NOIR D100,1.46,9.0,100.0,,66.0,,1.0,0.3794999999999999,0.0,4.3494495,39.1450455,,0,,0.0,0.036424,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,90.0,18.0,108.0,60.0,8.0,68.0,5.0,3.0,8.0,,,0.0,,,0.0,,3.591711493333335,3.591711493333335,5.299309291111111,37931,01-291-10,2019
HY01-291-11,TAPE COMPASS,A,5,5.0,RC1,,,Delrin noir, DELRIN NOIR (POM NOIR),J DELRIN NOIR D100,1.46,9.0,100.0,,23.0,,1.0,0.13225,0.0,1.5157172500000005,13.641455250000003,,0,,0.0,0.022922,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,90.0,10.0,100.0,30.0,2.0,32.0,5.0,1.5,6.5,,,0.0,,,0.0,,1.725434813333341,1.725434813333341,3.352119567777778,37931,01-291-11,2019
